OBJECTNUMMER,Naam_locatie,Categorie,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT
43,Nieuwe Meer,Zwemplek,POINT(4.8466042 52.3329068),POINT(52.3329068 4.8466042),4.8466042,52.3329068
52,Brediusbad,Buitenzwembad,POINT(4.869483 52.392189),POINT(52.392189 4.869483),4.869483,52.392189
53,Noorderparkbad,Buitenzwembad,POINT(4.9188118 52.3979187),POINT(52.3979187 4.9188118),4.9188118,52.3979187
54,Flevoparkbad,Buitenzwembad,POINT(4.952559 52.3644638),POINT(52.3644638 4.952559),4.952559,52.3644638
55,De Mirandabad,Buitenzwembad,POINT(4.903893 52.3388939),POINT(52.3388939 4.903893),4.903893,52.3388939
56,Sloterparkbad,Buitenzwembad,POINT(4.8176441 52.369442),POINT(52.369442 4.8176441),4.8176441,52.369442
57,Diemerpark,Zwemplek,POINT(4.9864841 52.3542671),POINT(52.3542671 4.9864841),4.9864841,52.3542671
59,Gaasperplas,Zwemplek,POINT(4.9966011 52.3033752),POINT(52.3033752 4.9966011),4.9966011,52.3033752
60,"Zandstrand, Ouderkerkerplas",Zwemplek,POINT(4.929492 52.2950172),POINT(52.2950172 4.929492),4.929492,52.2950172
61,Gibraltarbadje,Peuterbadje,POINT(4.8535781 52.3833618),POINT(52.3833618 4.8535781),4.8535781,52.3833618
62,Beatrixpark,Peuterbadje,POINT(4.884037 52.3432922),POINT(52.3432922 4.884037),4.884037,52.3432922
63,Vondelpark,Peuterbadje,POINT(4.8656023 52.3581627),POINT(52.3581627 4.8656023),4.8656023,52.3581627
64,Westerpark,Peuterbadje,POINT(4.872375 52.3878975),POINT(52.3878975 4.872375),4.872375,52.3878975
65,Bellamyplein,Peuterbadje,POINT(4.8676648 52.3680758),POINT(52.3680758 4.8676648),4.8676648,52.3680758
66,Plejadenplein,Peuterbadje,POINT(4.8856382 52.413826),POINT(52.413826 4.8856382),4.8856382,52.413826
67,Adelaarsweg,Peuterbadje,POINT(4.9225192 52.3903999),POINT(52.3903999 4.9225192),4.9225192,52.3903999
110,Piet Wiedijkpark,Peuterbadje,POINT(4.8174462 52.3550415),POINT(52.3550415 4.8174462),4.8174462,52.3550415
111,Gerbrandypark,Peuterbadje,POINT(4.828423 52.3780785),POINT(52.3780785 4.828423),4.828423,52.3780785
112,Eendrachtspark,Peuterbadje,POINT(4.8091931 52.3825264),POINT(52.3825264 4.8091931),4.8091931,52.3825264
128,Zuiderbad,Binnenzwembad,POINT(4.8859549 52.3585358),POINT(52.3585358 4.8859549),4.8859549,52.3585358
129,Sportfondsenbad Oost,Binnenzwembad,POINT(4.928688 52.3566742),POINT(52.3566742 4.928688),4.928688,52.3566742
130,Strand IJburg,Zwemplek,POINT(5.0148267 52.3569806),POINT(52.3569806 5.0148267),5.0148267,52.3569806
